date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:00	3750/3750	---M--	200	added ('OK')	text/html	etag:%225ebdf4975eeb8b9437c70a5db66b292e%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html	(from )
19:23:01	133/133	---M--	404	error ('Not%20Found')	application/xml	date:Sun,%2006%20Nov%202022%2012:53:01%20GMT	https://storage.googleapis.com/robots.txt		(from )
19:23:03	155845/155845	---M--	200	added ('OK')	text/css	etag:%22d76139bd0c05e8e15502fc2994690e9a%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/bootstrap.min.css	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/bootstrap.min.css	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:03	38708/38708	---M--	200	added ('OK')	text/css	etag:%2260f6029e70d2bc61bc0ce8a919a1c02a%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/css/font-awesome.min.css	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/css/font-awesome.min.css	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:04	1677/1677	---M--	200	added ('OK')	text/css	etag:%222a6cd331f10131af8c163c4d5a89a044%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/flaticon.css	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/flaticon.css	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:04	103409/103409	---M--	200	added ('OK')	image/x-icon	etag:%224db06d848a9af729a5364b640d40d304%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/favicon.ico	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/favicon.ico	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:05	277767/277767	---M--	200	added ('OK')	text/css	etag:%2233d89450978b6b4c75681dbfae8234e5%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/css/style.css	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:06	21309/21309	---M--	200	added ('OK')	image/png	etag:%22a02bcfef14f59e4739b63981208105e5%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/logos/logo-2.png	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/img/logos/logo-2.png	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:06	2987/2987	---M--	200	added ('OK')	text/html	etag:%226ff78e9917faaf39313e16418506dc95%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/forgot-password-34.html	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/forgot-password-34.html	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:07	3812/3812	---M--	200	added ('OK')	text/html	etag:%22d47361f7ee0c5cc03d13e278f2150acd%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/register-34.html	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/register-34.html	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:07	89501/89501	---M--	200	added ('OK')	text/javascript	etag:%228fb8fee4fcc3cc86ff6c724154c49c42%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/js/jquery-3.6.0.min.js	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/js/jquery-3.6.0.min.js	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:08	78744/78744	---M--	200	added ('OK')	text/javascript	etag:%222393b5c5354fb9cd89f80c816c547fd9%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/js/bootstrap.bundle.min.js	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/js/bootstrap.bundle.min.js	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:09	24444/24444	---M--	200	added ('OK')	text/javascript	etag:%2268880d1d38039c56ff9ed1f6ce9410a0%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/js/jquery.validate.min.js	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/js/jquery.validate.min.js	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:10	13690/13690	---M--	200	added ('OK')	text/javascript	etag:%220fc8129bb902f2d95c97650bd5ce86cf%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/js/app.js	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/js/app.js	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/login-34.html)
19:23:11	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%22674f50d287a8c48dc19ba404d20fe713%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/css/font-awesome.min.css)
19:23:12	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%22674f50d287a8c48dc19ba404d20fe713%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.eot?	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/css/font-awesome.min.css)
19:23:12	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%22af7ae505a9eed503f8b8e6982036873e%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/css/font-awesome.min.css)
19:23:13	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%22fee66e712a8a08eef5805a46892932ad%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/css/font-awesome.min.css)
19:23:13	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%22b06871f281fee6b241d60582ae9369b9%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/font-awesome/css/font-awesome.min.css)
19:23:15	6334/6334	---M--	200	added ('OK')	application/octet-stream	etag:%22701cdf13f7a5b3c3807c60ad864fce35%22	https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/Flaticon.eot	C:/Website%20Template/Login%20Template/oddo/storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/Flaticon.eot	(from https://storage.googleapis.com/theme-vessel-items/checking-sites/oddo-html/HTML/main/assets/fonts/flaticon/font/flaticon.css)
