date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:49	6590/6590	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2019:26:04%20GMT	https://affixtheme.com/html/xmee/demo/register-33.html	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/register-33.html	(from )
22:53:50	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2016:23:50%20GMT	https://affixtheme.com/robots.txt		(from )
22:53:51	431/431	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/img/favicon.png	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/img/favicon.png	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:51	163873/163873	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Nov%202021%2023:33:52%20GMT	https://affixtheme.com/html/xmee/demo/css/bootstrap.min.css	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/css/bootstrap.min.css	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:52	190289/190289	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:52	1674/1674	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/flaticon.css	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/font/flaticon.css	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:52	402138/402138	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202021%2023:08:48%20GMT	https://affixtheme.com/html/xmee/demo/style.css	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/style.css	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:52	6053/6053	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Nov%202021%2001:53:10%20GMT	https://affixtheme.com/html/xmee/demo/login-33.html	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/login-33.html	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:53	975/975	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Nov%202021%2003:40:36%20GMT	https://affixtheme.com/html/xmee/demo/img/logo-33.png	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/img/logo-33.png	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:53	129057/129057	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:53	59219/59219	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Nov%202021%2023:33:54%20GMT	https://affixtheme.com/html/xmee/demo/js/bootstrap.min.js	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/js/bootstrap.min.js	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:54	6983/6983	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:54	9309/9309	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/validator.min.js	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/js/validator.min.js	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:54	2470/2470	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Nov%202021%2005:24:56%20GMT	https://affixtheme.com/html/xmee/demo/js/main.js	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/js/main.js	(from https://affixtheme.com/html/xmee/demo/register-33.html)
22:53:56	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:53:56	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot?	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:53:57	72148/72148	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:53:57	84568/84568	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:53:58	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2016:23:57%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:53:58	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:53:58	125016/125016	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:53:58	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot?	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:53:59	13608/13608	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:53:59	16812/16812	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:54:00	34092/34092	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:54:00	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2016:23:59%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:54:01	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:54:02	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot?	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:54:02	74320/74320	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:54:02	96248/96248	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:54:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2016:24:02%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.svg	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:54:03	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.eot	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/font/Flaticon.eot	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
22:54:04	186228/186228	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.ttf	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
22:54:04	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.eot?	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/font/Flaticond41d.eot	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
22:54:04	2368/2368	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.woff2	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/font/Flaticon.woff2	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
22:54:04	2972/2972	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.woff	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/font/Flaticon.woff	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
22:54:05	4100/4100	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.ttf	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/font/Flaticon.ttf	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
22:54:05	15197/15197	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.svg	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/font/Flaticon.svg	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
22:54:06	4260/4260	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2019:25:20%20GMT	https://affixtheme.com/html/xmee/demo/forgot-password-33.html	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/forgot-password-33.html	(from https://affixtheme.com/html/xmee/demo/login-33.html)
22:54:07	435151/435151	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Nov%202021%2003:27:38%20GMT	https://affixtheme.com/html/xmee/demo/img/figure/bg33-1.jpg	C:/Website%20Template/xmee/affixtheme.com/html/xmee/demo/img/figure/bg33-1.jpg	(from https://affixtheme.com/html/xmee/demo/style.css)
